ID,keyid,vars,constl,opaspr,dtype,ampas,assgn,arith,logrel,block,decl,exprn,lrvalue,incdcr,varscop,fncpro,init,itcpt,selcpt,fncpar,countit,eventit,multi,nestit,fncdef,callfnc,pasaddr,stdio,conti,exitlp,endlp,beflp,ifelse,ifseri,switch,scanf,printf,break,prepost,elseif,return,default,constr,fncs,sequen
28CM-M,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown
29CM-M,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known
30CM-M,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
31CM-M,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
32CM-M,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
33CM-F,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known
34CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known
35CM-M,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
36CM-M,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known
37CM-M,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown
