ID,keyid,vars,constl,opaspr,dtype,ampas,assgn,arith,logrel,block,decl,exprn,lrvalue,incdcr,varscop,fncpro,init,itcpt,selcpt,fncpar,countit,eventit,multi,nestit,fncdef,callfnc,pasaddr,stdio,conti,exitlp,endlp,beflp,ifelse,ifseri,switch,scanf,printf,break,prepost,elseif,return,default,constr,fncs,sequen
18CM-F,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
19CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known
20CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known
21CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
22CM-M,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
23CM-F,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
24CM-M,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
25CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
26CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
27CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known
