ID,keyid,dtype,vars,block,decl,varscop,constr,opaspr,arith,assgn,constl,logrel,exprn,ampas,sequen,itcpt,selcpt,fncs,pasaddr,fncpar,fncpro,nestit,multi,init,incdcr,countit,eventit,switch,fncdef,exitlp,return,break,conti,ifelse,callfnc,stdio,lrvalue,scanf,printf,ifseri,elseif,beflp,endlp,default,prepost
P74,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown
P75,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown
P76,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known
P77,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known
P78,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown
P79,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown
P80,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known
P81,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known
P82,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown
P83,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known
P84,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown
P85,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown
P86,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known
P87,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown
